"CO_PROCEDIMENTO";"NO_PROCEDIMENTO";"TP_COMPLEXIDADE";"TP_SEXO";"QT_MAXIMA_EXECUCAO";"QT_DIAS_PERMANENCIA";"QT_PONTOS";"VL_IDADE_MINIMA";"VL_IDADE_MAXIMA";"VL_SH";"VL_SA";"VL_SP";"CO_FINANCIAMENTO";"CO_RUBRICA";"QT_TEMPO_PERMANENCIA";"DT_COMPETENCIA"
"0101050011";"PRATICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA                                                                                                                                                                                                        ";"1";"I";"9999";"9999";"0000";"0072";"1571";"0000000000";"0000000000";"0000000000";"01";"      ";"9999";"201806"
"0101050020";"TERAPIA COMUNITÁRIA                                                                                                                                                                                                                                       ";"1";"I";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"01";"      ";"9999";"201806"
"0101050038";"DANÇA CIRCULAR/BIODANÇA                                                                                                                                                                                                                                   ";"1";"I";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"01";"      ";"9999";"201806"
"0101050046";"YOGA                                                                                                                                                                                                                                                      ";"1";"I";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"01";"      ";"9999";"201806"
"0101050054";"OFICINA DE MASSAGEM/ AUTO-MASSAGEM                                                                                                                                                                                                                        ";"1";"I";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"01";"      ";"9999";"201806"
"0101050062";"SESSÃO DE ARTETERAPIA                                                                                                                                                                                                                                     ";"1";"I";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"01";"      ";"9999";"201806"
"0101050070";"SESSÃO DE MEDITAÇÃO                                                                                                                                                                                                                                       ";"1";"I";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"01";"      ";"9999";"201806"
"0101050089";"SESSÃO DE MUSICOTERAPIA                                                                                                                                                                                                                                   ";"1";"I";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"01";"      ";"9999";"201806"
"0102010056";"ATIVIDADES EDUCATIVAS PARA O SETOR REGULADO                                                                                                                                                                                                               ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010064";"ANÁLISE DE PROJETOS BÁSICOS DE ARQUITETURA                                                                                                                                                                                                                ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010072";"CADASTRO DE ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA                                                                                                                                                                                              ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010145";"INSPEÇÃO SANITÁRIA DE HOSPITAIS                                                                                                                                                                                                                           ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010153";"INVESTIGAÇÃO DE EVENTOS ADVERSOS E/OU QUEIXAS TÉCNICAS                                                                                                                                                                                                    ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010161";"EXCLUSÃO DE CADASTRO DE ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA COM ATIVIDADES ENCERRADAS.                                                                                                                                                       ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010170";"INSPEÇÃO DOS ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA                                                                                                                                                                                             ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010188";"LICENCIAMENTO DOS ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA                                                                                                                                                                                        ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010196";"APROVAÇÃO DE PROJETOS BÁSICOS DE ARQUITETURA                                                                                                                                                                                                              ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010200";"INVESTIGAÇÃO DE SURTOS DE DOENÇAS TRANSMITIDAS POR ALIMENTOS                                                                                                                                                                                              ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010218";"INVESTIGAÇÃO DE SURTOS DE INFECÇÃO EM SERVIÇOS DE SAÚDE                                                                                                                                                                                                   ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010226";"ATIVIDADE EDUCATIVA PARA A POPULAÇÃO                                                                                                                                                                                                                      ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010234";"RECEBIMENTO DE DENÚNCIAS/RECLAMAÇÕES                                                                                                                                                                                                                      ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010242";"ATENDIMENTO À DENÚNCIAS/RECLAMAÇÕES                                                                                                                                                                                                                       ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010250";"CADASTRO DE HOSPITAIS                                                                                                                                                                                                                                     ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010269";"LICENCIAMENTO SANITÁRIO DE HOSPITAIS                                                                                                                                                                                                                      ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010277";"CADASTRO DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS                                                                                                                                                                                                 ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010285";"INSPEÇÃO SANITÁRIA DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS                                                                                                                                                                                       ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010293";"LICENCIAMENTO SANITÁRIO DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS                                                                                                                                                                                  ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010307";"CADASTRO DE INDÚSTRIAS DE MEDICAMENTOS                                                                                                                                                                                                                    ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010315";"INSPEÇÃO SANITÁRIA DE INDÚSTRIA DE MEDICAMENTOS                                                                                                                                                                                                           ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010323";"LICENCIAMENTO SANITÁRIO DE INDÚSTRIAS DE MEDICAMENTOS                                                                                                                                                                                                     ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010331";"CADASTRO DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA                                                                                                                                                                        ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010340";"INSPEÇÃO SANITÁRIA DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA.                                                                                                                                                             ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010358";"LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA                                                                                                                                                         ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010366";"CADASTRO DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA                                                                                                                                                                                         ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010374";"INSPEÇÃO SANITÁRIA DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA                                                                                                                                                                               ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010382";"LICENCIAMENTO SANITÁRIO DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA                                                                                                                                                                          ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010390";"CADASTRO DE SERVIÇOS DE HEMOTERAPIA                                                                                                                                                                                                                       ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010404";"INSPEÇÃO SANITÁRIA DE SERVIÇOS DE HEMOTERAPIA                                                                                                                                                                                                             ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010412";"LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE HEMOTERAPIA                                                                                                                                                                                                        ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010420";"CADASTRO DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA                                                                                                                                                                                                        ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010439";"INSPEÇÃO SANITÁRIA DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA                                                                                                                                                                                              ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010447";"LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA                                                                                                                                                                                         ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010455";"CADASTRO DE SERVIÇOS DE ALIMENTAÇÃO                                                                                                                                                                                                                       ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010463";"INSPEÇÃO SANITÁRIA DE SERVIÇOS DE ALIMENTAÇÃO                                                                                                                                                                                                             ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010471";"LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE ALIMENTAÇÃO                                                                                                                                                                                                        ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010480";"FISCALIZAÇÃO DO USO DE PRODUTOS FUMÍGENOS DERIVADOS DO TABACO EM AMBIENTES COLETIVOS FECHADOS, PÚBLICOS OU PRIVADOS                                                                                                                                       ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010498";"LAUDO DE ANÁLISE LABORATORIAL DO PROGRAMA DE MONITORAMENTO DE ALIMENTOS RECEBIDOS PELA VIGILÂNCIA SANITÁRIA                                                                                                                                               ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010501";"ATIVIDADES EDUCATIVAS SOBRE A TEMÁTICA DA DENGUE,REALIZADAS PARA A POPULAÇÃO                                                                                                                                                                              ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010510";"ATIVIDADES EDUCATIVAS,COM RELAÇÃO AO CONSUMO DE SÓDIO, AÇÚCAR E GORDURAS, REALIZADAS PARA O SETOR REGULADO E A POPULAÇÃO                                                                                                                                  ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010528";"INSTAURAÇÃO DE PROCESSO ADMINISTRATIVO SANITÁRIO                                                                                                                                                                                                          ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010536";"CONCLUSÃO DE PROCESSO ADMINISTRATIVO SANITÁRIO                                                                                                                                                                                                            ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010544";"CADASTRO DE INDÚSTRIAS DE INSUMOS FARMACÊUTICOS                                                                                                                                                                                                           ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010552";"CADASTRO DE INDÚSTRIAS DE PRODUTOS PARA SAÚDE                                                                                                                                                                                                             ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010560";"INSPEÇÃO SANITÁRIA DE INDÚSTRIAS DE INSUMOS FARMACÊUTICOS                                                                                                                                                                                                 ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010579";"INSPEÇÃO SANITÁRIA DE INDÚSTRIAS DE PRODUTOS PARA SAÚDE                                                                                                                                                                                                   ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010587";"IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPs) HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS À INSPEÇÃO EM ESTABELECIMENTOS FABRICANTES DE MEDICAMENTOS                                                                                                            ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010595";"IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPs) HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS À INSPEÇÃO EM ESTABELECIMENTOS FABRICANTES DE INSUMOS FARMACÊUTICOS                                                                                                   ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010609";"IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPs) HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS A INSPEÇÃO EM ESTABELECIMENTOS FABRICANTES DE PRODUTOS PARA SAÚDE                                                                                                     ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010617";"ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE MEDICAMENTOS À ANVISA                                                                                                                                                                  ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010625";"ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE INSUMOS FARMACÊUTICOS À ANVISA                                                                                                                                                         ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010633";"ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE PRODUTOS PARA SAÚDE À ANVISA                                                                                                                                                           ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010641";"AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE MEDICAMENTOS                                                                                                                   ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010650";"AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE INSUMOS FARMACÊUTICOS                                                                                                          ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102010668";"AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE PRODUTOS PARA SAÚDE                                                                                                            ";"0";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"07";"      ";"9999";"201806"
"0102020019";"VIGILÂNCIA DA SITUAÇÃO DE SAÚDE DOS TRABALHADORES                                                                                                                                                                                                         ";"2";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"05";"      ";"9999";"201806"
"0102020027";"ATIVIDADE EDUCATIVA EM SAÚDE DO TRABALHADOR                                                                                                                                                                                                               ";"2";"I";"9999";"9999";"0000";"0048";"1571";"0000000000";"0000000000";"0000000000";"05";"      ";"9999";"201806"
"0102020035";"INSPEÇÃO SANITÁRIA EM SAÚDE DO TRABALHADOR                                                                                                                                                                                                                ";"2";"N";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"05";"      ";"9999";"201806"
"0201010011";"AMNIOCENTESE                                                                                                                                                                                                                                              ";"2";"F";"0001";"9999";"0000";"0108";"0731";"0000000220";"0000000220";"0000000000";"06";"      ";"9999";"201806"
"0201010020";"BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE                                                                                                                                                                                                             ";"2";"I";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000001410";"0000000000";"06";"      ";"9999";"201806"
"0201010038";"BIOPSIA CIRURGICA DE TIREOIDE                                                                                                                                                                                                                             ";"2";"I";"0001";"0002";"0088";"0000";"1571";"0000012370";"0000000000";"0000007686";"06";"      ";"9999";"201806"
"0201010046";"BIOPSIA DE ANUS E CANAL ANAL                                                                                                                                                                                                                              ";"2";"I";"0001";"9999";"0000";"0000";"1571";"0000001846";"0000001846";"0000000000";"06";"      ";"9999";"201806"
"0201010054";"BIOPSIA DE BACO POR PUNCAO / ASPIRACAO                                                                                                                                                                                                                    ";"2";"I";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"06";"      ";"9999";"201806"
"0201010062";"BIOPSIA DE BEXIGA                                                                                                                                                                                                                                         ";"2";"I";"0001";"9999";"0000";"0000";"1571";"0000004168";"0000004168";"0000000000";"06";"      ";"9999";"201806"
"0201010070";"BIOPSIA DE BOLSA ESCROTAL                                                                                                                                                                                                                                 ";"2";"M";"0001";"9999";"0000";"0000";"1571";"0000001833";"0000001833";"0000000000";"06";"      ";"9999";"201806"
"0201010089";"BIOPSIA DE CONDUTO AUDITIVO EXTERNO                                                                                                                                                                                                                       ";"2";"I";"0002";"9999";"0000";"0000";"1571";"0000000000";"0000001906";"0000000000";"06";"      ";"9999";"201806"
"0201010097";"BIOPSIA DE CONJUNTIVA                                                                                                                                                                                                                                     ";"2";"I";"0002";"9999";"0000";"0000";"1571";"0000003110";"0000003110";"0000000000";"06";"      ";"9999";"201806"
"0201010100";"BIOPSIA DE CORDAO ESPERMATICO (UNILATERAL)                                                                                                                                                                                                                ";"2";"M";"9999";"9999";"0000";"0000";"1571";"0000004619";"0000004619";"0000000000";"06";"      ";"9999";"201806"
"0201010119";"BIOPSIA DE CORNEA                                                                                                                                                                                                                                         ";"2";"I";"0002";"9999";"0000";"0000";"1571";"0000006862";"0000006862";"0000000000";"06";"      ";"9999";"201806"
"0201010127";"BIOPSIA DE CORPO VERTEBRAL A CEU ABERTO                                                                                                                                                                                                                   ";"3";"I";"0001";"0002";"0088";"0000";"1571";"0000058566";"0000000000";"0000022680";"06";"      ";"9999";"201806"
"0201010135";"BIOPSIA DE CORPO VERTEBRAL LAMINA E PEDICULO VERTEBRAL (POR DISPOSITIVO GUIADO)                                                                                                                                                                           ";"3";"I";"0001";"0002";"0088";"0000";"1571";"0000014901";"0000000000";"0000012960";"06";"      ";"9999";"201806"
"0201010143";"BIOPSIA DE ENDOCARDIO / MIOCARDIO                                                                                                                                                                                                                         ";"3";"I";"0001";"0001";"0088";"0000";"1571";"0000057728";"0000000000";"0000013198";"06";"      ";"9999";"201806"
"0201010151";"BIOPSIA DE ENDOMETRIO                                                                                                                                                                                                                                     ";"2";"F";"0001";"9999";"0000";"0108";"1571";"0000000000";"0000001833";"0000000000";"06";"      ";"9999";"201806"
"0201010160";"BIOPSIA DE ENDOMETRIO POR ASPIRACAO MANUAL INTRA-UTERINA                                                                                                                                                                                                  ";"2";"F";"0001";"0001";"0048";"0108";"1571";"0000006815";"0000008569";"0000001754";"06";"      ";"9999";"201806"
"0201010178";"BIOPSIA DE EPIDIDIMO                                                                                                                                                                                                                                      ";"2";"M";"9999";"9999";"0000";"0120";"1571";"0000004619";"0000004619";"0000000000";"06";"      ";"9999";"201806"
"0201010186";"BIOPSIA DE ESCLERA                                                                                                                                                                                                                                        ";"2";"I";"0002";"9999";"0000";"0000";"1571";"0000004873";"0000006862";"0000001989";"06";"      ";"9999";"201806"
"0201010194";"BIOPSIA DE FARINGE/LARINGE                                                                                                                                                                                                                                ";"2";"I";"9999";"9999";"0000";"0000";"1571";"0000001906";"0000001906";"0000000000";"06";"      ";"9999";"201806"
"0201010208";"BIOPSIA DE FIGADO EM CUNHA / FRAGMENTO                                                                                                                                                                                                                    ";"2";"I";"0001";"0002";"0088";"0000";"1571";"0000011429";"0000000000";"0000008330";"06";"      ";"9999";"201806"
"0201010216";"BIOPSIA DE FIGADO POR PUNCAO                                                                                                                                                                                                                              ";"2";"I";"9999";"9999";"0000";"0000";"1571";"0000007115";"0000007115";"0000000000";"06";"      ";"9999";"201806"
"0201010224";"BIOPSIA DE GANGLIO LINFATICO                                                                                                                                                                                                                              ";"2";"I";"9999";"9999";"0000";"0000";"1571";"0000004619";"0000004619";"0000000000";"06";"      ";"9999";"201806"
"0201010232";"BIÓPSIA DE GLÂNDULA SALIVAR                                                                                                                                                                                                                               ";"2";"I";"9999";"9999";"0000";"0000";"1571";"0000003127";"0000003127";"0000000000";"06";"      ";"9999";"201806"
